Степень;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69
Кол-во вершин;9;19;15;7;10;8;6;8;5;3;4;5;2;4;4;1;4;3;4;7;4;2;3;5;5;3;8;7;4;2;3;3;4;7;3;0;4;2;5;3;3;2;1;1;1;1;2;0;4;2;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2
Вероятность;0,039473684;0,083333333;0,065789474;0,030701754;0,043859649;0,035087719;0,026315789;0,035087719;0,021929825;0,013157895;0,01754386;0,021929825;0,00877193;0,01754386;0,01754386;0,004385965;0,01754386;0,013157895;0,01754386;0,030701754;0,01754386;0,00877193;0,013157895;0,021929825;0,021929825;0,013157895;0,035087719;0,030701754;0,01754386;0,00877193;0,013157895;0,013157895;0,01754386;0,030701754;0,013157895;0;0,01754386;0,00877193;0,021929825;0,013157895;0,013157895;0,00877193;0,004385965;0,004385965;0,004385965;0,004385965;0,00877193;0;0,01754386;0,00877193;0,004385965;0;0;0;0,004385965;0;0;0;0,004385965;0;0;0;0;0;0;0,004385965;0;0;0,00877193
