4440995
5765873;380629455;373367071;365614203;342795530;280229852;279333435;236856029;223881754;221021382;204849163;193329243;191866817;188876678;182708703;177555150;163817106;154745473;153454462;142109800;137417896;126337514;115705314;114141450;109837130;100738103;98110832;92104278;91715542;89141816;85289689;83119887;71596581;60254256;56449723;56085040;52706134;41614544;39605362;36565259;35468814;34598859;30541895;28966029;20393372;19641842;11692038;8913873;7601666;6810355
6810355;409106704;380629455;373367071;365614203;307748880;280229852;279333435;223881754;196653822;193329243;193301481;188876678;154745473;153454462;142109800;133644509;115705314;114242663;114141450;100738103;98110832;89141816;83119887;37225098;36565259;30541895;16673389;5765873
7601666;342795530;307748880;223881754;196653822;193301481;191866817;188876678;182708703;109837130;100738103;98110832;89141816;85289689;71596581;34598859;28966029;5765873
7746664;137071050;113164231;105897517;105363091;94822918;70536455;53651366;39555462;28202231
8913873;409106704;380629455;373367071;365614203;328978162;280229852;279333435;236856029;223881754;221021382;196653822;193329243;193301481;191866817;188876678;182708703;154745473;142109800;141691318;137417896;127984737;126337514;121842052;119149469;115705314;114242663;114141450;100738103;98110832;92104278;89141816;85289689;83119887;81526353;71596581;61333091;60254256;56449723;52706134;46872321;39605362;37225098;36565259;34598859;30541895;20393372;19641842;16673389;11692038;5765873
10831350;42366752;26436193;13847248
11321711;332244842
11692038;365614203;307748880;279333435;223881754;221021382;188876678;137417896;126337514;114141450;100738103;98110832;89141816;68011568;39605362;36565259;35468814;34598859;28966029;8913873;5765873
13023176;381977137;367798724;239292372;235897006;207242142;200023930;184384357;155211628;153613008;145311702;144494752;143467744;137636011;137071050;113697460;113164231;109174409;101779154;98256139;96392913;93718578;92302263;90215761;84725288;80429607;77868213;69011954;66606777;66202027;65561782;65516327;64522368;62722639;59477024;53651366;53433574;53389453;52432087;52305642;42366752;39555462;39244153;38128854;30189819;28202231;22454482
13417151;232831985;209858113;208957087;207242142;175708881;155211628;133250453;118591534;113164231;109174409;105897517;92302263;84725288;79958332;70536455;64668986;64522368;62722639;59477024;28202231
13847248;381977137;105363091;84725288;65561782;62722639;52305642;28202231;20020094;10831350
14009027;145991603;137688958;122241940;100578402
16060304;69011954;62722639
16673389;373367071;276437892;115705314;114141450;98110832;89141816;64387636;39605362;36565259;34598859;30541895;19641842;8913873;6810355
18021920;55512780;35468814;19641842
19073729;192962726;145311702;143467744;112122624;93718578;50088564
19612878;235897006;161193027;145311702;97584698;64522368;59477024;52432087;28202231
19641842;380629455;373367071;365614203;280229852;193329243;193301481;154745473;142109800;121842052;119149469;115705314;114242663;114141450;100738103;98110832;89141816;81526353;61333091;60254256;56449723;52706134;46872321;39605362;37225098;36565259;35468814;34598859;30541895;18021920;16673389;8913873;5765873
20020094;105363091;79958332;53651366;42366752;26436193;13847248
20393372;373367071;342795530;307748880;279333435;223881754;193329243;191866817;188876678;182708703;163817106;133644509;126337514;114141450;109837130;98110832;92104278;89141816;85289689;60254256;56085040;35468814;34598859;28966029;8913873;5765873
22454482;151625658;92302263;87094013;84725288;70536455;59477024;53651366;39555462;39244153;28202231;13023176
24775753;434922109;332244842;180840712;148157155;144676667;83507415;61405879;61378354
25641826;59477024;43506759
26436193;209066411;89937930;40693989;39555462;20020094;10831350
26648770;185206022
26837438;208957087;146139512;62722639;59477024;39244153
28202231;381977137;367798724;235897006;209066411;208957087;207242142;200023930;184384357;180548850;175708881;168172797;162297277;161193027;156926515;153613008;145311702;144676667;144494752;143467744;138062764;137636011;137071050;136965395;134095207;113164231;109174409;105897517;105363091;103289205;98256139;97584698;96392913;94822918;93718578;92302263;90215761;80429607;79958332;77868213;70536455;69011954;66606777;66202027;65561782;65516327;64522368;62722639;61405879;60059102;59477024;53651366;53433574;53389453;52432087;40693989;39555462;39244153;38128854;36704197;30189819;22454482;19612878;13847248;13417151;13023176;7746664
28966029;342795530;307748880;279333435;276437892;223881754;193329243;191866817;188876678;182708703;163817106;137417896;133644509;126337514;114141450;109837130;98110832;92104278;91715542;89141816;85289689;68011568;56085040;36565259;35468814;34598859;20393372;11692038;7601666;5765873
30189819;145311702;143467744;137071050;101667591;96392913;93718578;90215761;79958332;70536455;69011954;64522368;59477024;53651366;52305642;42366752;40693989;39555462;39244153;28202231;13023176
30541895;413681022;380629455;373367071;365614203;342795530;307748880;280229852;276437892;223881754;221021382;204849163;201801689;196653822;193301481;191866817;188876678;182708703;163817106;154745473;153454462;142109800;141691318;137417896;127984737;115705314;114242663;114141450;109837130;100738103;98110832;89141816;85289689;83119887;81526353;71596581;68011568;61333091;60254256;56085040;52706134;46872321;39605362;37225098;36565259;35468814;34598859;19641842;16673389;8913873;6810355;5765873
33281690;184384357;143300668
34598859;373367071;365614203;342795530;307748880;280229852;279333435;276437892;236856029;223881754;204849163;193301481;191866817;188876678;182708703;177555150;163817106;154745473;142109800;141691318;137417896;133644509;126337514;119149469;115705314;114141450;109837130;100738103;98110832;92104278;91715542;89141816;85289689;81526353;71596581;61333091;56449723;52706134;39605362;36565259;35468814;30541895;28966029;20393372;19641842;16673389;11692038;8913873;7601666;5765873
35468814;413681022;373367071;342795530;307748880;279333435;276437892;223881754;193329243;193301481;191866817;188876678;182708703;133644509;127984737;126337514;115705314;109837130;100738103;98110832;92104278;89141816;85289689;68011568;56085040;46872321;39605362;34598859;30541895;28966029;20393372;19641842;18021920;11692038;5765873
36565259;380629455;373367071;365614203;342795530;307748880;276437892;223881754;201801689;196653822;193329243;193301481;191866817;188876678;182708703;163817106;153454462;142109800;137417896;133644509;127984737;121842052;119149469;115705314;114141450;98110832;89141816;85289689;83119887;81526353;71596581;68011568;64387636;60254256;39605362;37225098;34598859;30541895;28966029;19641842;16673389;11692038;8913873;6810355;5765873
36704197;239292372;232831985;208957087;200023930;194561462;162297277;145311702;137071050;135174451;134095207;118591534;113697460;105897517;101667591;93718578;92302263;90215761;84725288;80429607;79958332;66606777;66202027;64522368;62722639;59477024;54226354;53389453;52305642;39244153;38128854;28202231
36880180;315038229;180548850;137071050;90215761;66202027;65561782;64522368;64387636;59477024;53651366;40693989;39555462;38128854
37225098;373367071;365614203;280229852;223881754;196653822;193301481;182708703;142109800;121842052;119149469;115705314;114242663;100738103;98110832;89141816;83119887;56449723;36565259;30541895;19641842;8913873;6810355
38128854;381977137;367798724;235897006;208957087;200023930;184384357;168172797;162297277;161193027;145311702;143467744;138062764;137636011;137071050;135174451;134095207;118715925;118591534;113697460;113164231;105897517;103289205;98256139;97584698;94822918;93718578;92302263;90215761;66606777;66202027;65561782;64522368;62722639;59477024;53651366;53389453;52432087;39244153;36880180;36704197;28202231;13023176
